#connectivity
1062,Pettorelli N


1063,Clegg SM and Phillimore AB


1064,Couvillon MJ


1065,Hughes WOH


1066,Perez-Sato JA


1067,Martin SJ
,1652

1068,Ratnieks FLW
,1652,1750,1751,1724,1752,1753,1754,163,1755,1652,1652,1803,1803
,1757,1758,163,163
1069,Durrant KL


1070,Bacon I


1071,Bird S


1072,Klein �


1073,Lee J-W


1074,Dos Remedios N


1075,Kupper C


1076,Schley L
,801,1700
,1701
1077,Schaul M

,801,1700,1701
1078,Roper TJ
,801,801,1722,1081,801
,1081,1725,163,1060,1726,1725
1079,Do Linh San E


1080,Etherington TR


1081,Wilson GJ
,1722,572,143,1723,1724,1722,1078
,1725,1726,1725,160,801,1078,1060,1726,1725
1082,Freeland J


1083,Biss PM


1084,Conrad KF


1085,Silvertown J


1086,Goerlitz H


1087,Ter Hofstede HM


1088,Holderied MW


1089,Ljungqvist M


1090,Mueller JC


1091,Olano-Marin J


1092,Ellegren H


1093,Nilsson J-�


1094,Tun-Lin W


1095,Setha T


1096,Min S


1097,Thaung S


1098,Anyaele O


1099,de Silva B


1100,Chang MS


1101,Jan CMI


1102,Frith K


1103,Glover AM


1104,Scott CD


1105,Greenaway F


1106,Ruedi M


1107,Johnson PCD


1108,Hadfield JD


1109,Keller LF


1110,Kosztola A


1111,van Heusden J


1112,YK Lee


1113,BJ Hatchwell


1114,MS Kim


1115,Lifjeld JT


1116,Marthinsen G


